2620507.05,3723875.76,2794530.32,3307020.84,2554962.07,3399822.72,2950236.79,3394661.81,2715901.88,3794428.32
3723875.76,3950688.75,3700033.77,4039106.66,3450557.63,4211144.16,3685100.05,4231041.20,3489181.37,4134966.50
2794530.32,3700033.77,2447703.17,2939333.10,2423639.28,2967175.69,2685802.65,3200254.12,2813740.90,3634721.41
3307020.84,4039106.66,2939333.10,3116492.44,2889570.13,3262751.16,3028694.43,3546853.23,3202668.53,3897061.70
2554962.07,3450557.63,2423639.28,2889570.13,2180393.06,2955139.42,2553889.65,3041372.54,2543701.89,3441379.82
3399822.72,4211144.16,2967175.69,3262751.16,2955139.42,3231124.18,3100478.45,3611457.88,3387395.71,4075448.27
2950236.79,3685100.05,2685802.65,3028694.43,2553889.65,3100478.45,2630246.41,3341640.50,2873958.28,3648180.69
3394661.81,4231041.20,3200254.12,3546853.23,3041372.54,3611457.88,3341640.50,3441219.20,3387032.80,4140285.90
2715901.88,3489181.37,2813740.90,3202668.53,2543701.89,3387395.71,2873958.28,3387032.80,2440646.94,3541713.21
3794428.32,4134966.50,3634721.41,3897061.70,3441379.82,4075448.27,3648180.69,4140285.90,3541713.21,4021099.77
