0.00,2834628.01,2576103.16,3631064.64,4617184.21,3862095.51,5981349.32,2767717.79,894047.98,2099876.07
2834628.01,0.00,785415.58,1056064.07,1306635.01,1478849.17,1418938.38,903994.17,1699025.04,902491.97
2576103.16,785415.58,0.00,267611.19,361501.97,492057.67,834934.52,174955.07,2426476.07,2006967.30
3631064.64,1056064.07,267611.19,0.00,220704.26,169893.73,458995.37,355665.21,3426995.13,2810544.47
4617184.21,1306635.01,361501.97,220704.26,0.00,381549.76,212070.32,468330.69,4266792.83,3351612.06
3862095.51,1478849.17,492057.67,169893.73,381549.76,0.00,686546.56,711782.60,3600854.72,3535316.64
5981349.32,1418938.38,834934.52,458995.37,212070.32,686546.56,0.00,900039.32,5058899.66,3660490.67
2767717.79,903994.17,174955.07,355665.21,468330.69,711782.60,900039.32,0.00,2756490.10,1815309.18
894047.98,1699025.04,2426476.07,3426995.13,4266792.83,3600854.72,5058899.66,2756490.10,0.00,1138364.45
2099876.07,902491.97,2006967.30,2810544.47,3351612.06,3535316.64,3660490.67,1815309.18,1138364.45,0.00
